area_data_key,taxon_key,fishing_entity_id,gear_id,time_key,year,area_key,eez_id,fao_id,data_layer_id,marine_layer_id,catch_type_id,catch_status,reporting_status_id,reporting_status,sector_type_id,end_use_type_id,score,catch_sum,real_value,primary_production_required,catch_trophic_level,catch_max_length,marine_layer_id_1,remarks,name,bread_crumb_name,show_sub_areas,last_report_year,eez_name,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name,sector_type
1071017,601864,7,700,60,2010,10,36,71,1,1,1,R,1,R,3,3,3,9.65556299270825e-6,0.0141550553473103,0.00860552957546071,3.81394738211976e-5,7.91756165402077e-4,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Lethrinus olivaceus,Longface emperor,5,3,Medium demersals (30 - 89 cm),Perch-likes,Artisanal
1071107,590013,7,401,61,2011,10,36,71,1,1,1,R,1,R,1,1,3,15.8310761538461,5993.88903253047,9988.73377029447,60.1580893846154,1614.76976769231,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Octopus,"Octopuses, pikas",25,12,Cephalopods,Other fishes & inverts,Industrial
1071112,290002,7,102,62,2012,10,36,71,1,1,1,R,1,R,1,1,3,0.461249999999999,523.037865509999,297.808013142234,1.7573625,19.83375,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Cephalopoda,"Squids, cuttlefishes, octopuses",25,12,Cephalopods,Other fishes & inverts,Industrial
1071152,600107,213,500,65,2015,10,36,71,3,1,2,D,2,U,1,4,1,1.21430757807066,1780.17490945159,3268.35110904939,5.37938257085304,123.859372963208,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Katsuwonus pelamis,Skipjack tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1071235,600454,7,400,65,2015,10,36,71,1,1,1,R,1,R,1,1,3,1.2244,1.580929999488,255.813418261768,4.065008,47.7516,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Drepane punctata,Spotted sicklefish,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1071238,600875,7,401,62,2012,10,36,71,3,1,1,R,1,R,1,1,1,0.0113664127220395,0.291491159022101,16.4294649991484,0.0472842769236843,3.72818337282896,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Carcharhinus longimanus,Oceanic whitetip shark,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1071244,400475,7,400,63,2013,10,36,71,1,1,1,R,1,R,1,1,3,100.2147,68509.5012437312,6621.11956840469,282.605454,3307.0851,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Hemiramphidae,"Halfbeaks, garfishes",2,12,Medium pelagics (30 - 89 cm),Other fishes & inverts,Industrial
1071256,600089,7,707,60,2010,10,36,71,1,1,1,R,1,R,3,1,3,0.0687794117647146,2.77737071889212,125.157954642941,0.293000294117684,15.6129264705902,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Acanthocybium solandri,Wahoo,3,3,Large pelagics (>=90 cm),Perch-likes,Artisanal
1071277,390013,7,102,64,2014,10,36,71,1,1,1,R,1,R,1,1,3,0.569999999999995,1954.26313967998,153.417483823833,1.95509999999998,11.3999999999999,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Decapoda,"Crabs, lobsters, shrimps",27,10,"Lobsters, crabs",Crustaceans,Industrial
1071285,600107,213,302,61,2011,10,36,71,3,1,1,R,1,R,1,1,1,14.4410664274376,21170.6033826235,38868.6328952687,63.9739242735485,1472.98877559863,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Katsuwonus pelamis,Skipjack tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
